,GPT-5.4,GPT-5.3,GPT-5.2,o3,GPT-4o,GPT-4o mini,GPT-3.5 Turbo,Claude Opus 4.6,Claude Sonnet 4.6,Claude Haiku 4.5,Gemini 3.1 Pro,Gemini 2.5 Flash,DeepSeek V3,Llama 3.3 70B,Qwen2.5 7B
Actors,0.4,0.5333333333333333,0.4,0.6,0.4,0.3333333333333333,0.4,0.6,0.4666666666666666,0.4666666666666666,0.4,0.5333333333333333,0.4,0.6,0.4
Actuaries,0.611111111111111,0.5277777777777778,0.5277777777777778,0.5833333333333333,0.38888888888888884,0.4444444444444444,0.5833333333333334,0.7222222222222222,0.7222222222222222,0.611111111111111,0.5833333333333334,0.5277777777777778,0.6388888888888888,0.5833333333333334,0.5833333333333334
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.0,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777777,1.0,0.7777777777777777
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.4666666666666666,0.4666666666666667,0.4666666666666666,0.5999999999999999,0.3333333333333333,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.5999999999999999,0.5333333333333333,0.5333333333333333,0.5999999999999999,0.39999999999999997
Advertising Sales Agents,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.3333333333333333,0.3333333333333333
Aerospace Engineers,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777777,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.611111111111111,0.6666666666666666,0.3888888888888889,0.16666666666666666,0.16666666666666666,0.16666666666666666
Air Traffic Controllers,0.5,0.3333333333333333,0.6666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.0,0.41666666666666663,0.5,0.41666666666666663,0.5833333333333333,0.25,0.0,0.3333333333333333,0.16666666666666666
Anesthesiologists,0.6666666666666666,0.5666666666666667,0.6000000000000001,0.5,0.3,0.36666666666666664,0.33333333333333337,0.6,0.6,0.5,0.36666666666666664,0.5,0.33333333333333337,0.3333333333333333,0.26666666666666666
Animal Caretakers,0.5,0.5,0.5833333333333334,0.5,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.5833333333333334,0.5,0.5833333333333333,0.5,0.5,0.5
Animal Trainers,0.7777777777777777,0.5555555555555555,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5555555555555555,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0,0.0
