model,label,mc,mc_se,oe,oe_se,ww,ww_se
gpt_5_4,GPT-5.4,0.6291217760365654,0.013562518404338742,0.5621939275220372,0.015534020709125908,0.6371835566822344,0.016511277471052146
gpt_5_3_chat_latest,GPT-5.3,0.6075742735879855,0.013853861705726632,0.5044074436826641,0.015654999027441687,0.6137515800444737,0.016992320733377333
gpt_5_2,GPT-5.2,0.5886385896180215,0.014045608864158093,0.5132223310479922,0.015650132178908618,0.5993506945582061,0.01718069409427744
o3,o3,0.5461965393405158,0.014243931981334,0.48677766895200786,0.01565013217890862,0.5534008607774463,0.017573560525527516
gpt_4o,GPT-4o,0.44172380019588636,0.014140200747354715,0.3692458374142997,0.01511081125002346,0.4262195257368288,0.017210887759383862
gpt_4o_mini,GPT-4o mini,0.37838720208945475,0.01161905287541182,0.2850146914789422,0.014134553584026321,0.38260805965955624,0.014858281398913582
gpt_3_5_turbo,GPT-3.5 Turbo,0.3470453803460659,0.013727599972488035,0.2615083251714006,0.013759906272389742,0.34386062808035417,0.016883246902423092
claude_opus_4_6,Claude Opus 4.6,0.6363042768527587,0.013821540641226813,0.5337904015670911,0.015619815493184048,0.6348684099694533,0.01702639301320901
claude_sonnet_4_6,Claude Sonnet 4.6,0.6144302970943518,0.01391538781447477,0.5269343780607247,0.015632875717992448,0.6271093590697516,0.01709850127359395
claude_haiku_4_5,Claude Haiku 4.5,0.5125693764283381,0.012229495542470284,0.4240940254652302,0.015474149317108311,0.5262428616371683,0.01526143960415574
gemini_3_1_pro,Gemini 3.1 Pro,0.56513222331048,0.014201281016087988,0.4691478942213516,0.015625775198621853,0.5692849306194521,0.017507456752562326
gemini_2_5_flash,Gemini 2.5 Flash,0.48873653281096957,0.012248177097590318,0.4005876591576885,0.015343044233822423,0.4976971087499043,0.015477245933242989
DeepSeek_V3,DeepSeek V3,0.40287300032647727,0.014013327376904958,0.3388834476003918,0.014820542729830431,0.39668099406343393,0.017239074367319772
llama_3_3_70B,Llama 3.3 70B,0.38981390793339865,0.014025208809560754,0.31341821743388837,0.014524733415745797,0.38310550497898205,0.017122352176076692
Qwen2_5_7B_Instruct_Turbo,Qwen2.5 7B,0.35586026771139406,0.013704515542357245,0.2987267384916748,0.014331135520114368,0.3520968327460653,0.016873991941181127
